Time Stamp (ms),qw,qx,qy,qz
13085,0.0574951,-0.168823,0.361084,-0.915344
13118,0.0767822,-0.15802,0.335815,-0.925415
13152,0.0883789,-0.153015,0.313171,-0.933105
13187,0.098938,-0.135254,0.274597,-0.946838
13220,0.105347,-0.127319,0.240173,-0.956543
13253,0.0903931,-0.13855,0.27832,-0.946106
13287,0.0898438,-0.138184,0.299561,-0.939758
13320,0.0881958,-0.124695,0.288574,-0.94519
13353,0.0748291,-0.121155,0.270508,-0.952148
13389,0.0775146,-0.115662,0.256165,-0.956543
13420,0.0629272,-0.10907,0.230896,-0.964783
13455,0.0495605,-0.115173,0.253662,-0.959106
13489,0.0592651,-0.114685,0.263733,-0.955933
13521,0.0792236,-0.104553,0.231567,-0.963928
13556,0.0990601,-0.0958862,0.226868,-0.964111
13589,0.103699,-0.081665,0.22998,-0.964233
13622,0.11322,-0.0690918,0.206482,-0.969421
13658,0.118103,-0.0610352,0.189453,-0.972839
13689,0.126587,-0.0587769,0.18158,-0.97345
13723,0.10083,-0.0723877,0.205688,-0.970703
13758,0.0859375,-0.113342,0.292419,-0.945618
13790,0.0755005,-0.123962,0.308777,-0.940002
13823,0.0686035,-0.111267,0.28009,-0.95105
13859,0.0870361,-0.104675,0.275574,-0.951599
13891,0.0754395,-0.115662,0.283936,-0.948853
13924,0.0526733,-0.124023,0.269165,-0.953613
13958,0.0446777,-0.121521,0.241577,-0.961731
13992,0.0462036,-0.121765,0.240295,-0.961914
14025,0.0501099,-0.116333,0.241516,-0.962097
14059,0.0571899,-0.098938,0.21637,-0.969604
14093,0.0827637,-0.101013,0.225098,-0.965515
14126,0.116638,-0.112976,0.25885,-0.952148
14159,0.095459,-0.119812,0.24585,-0.957153
14194,0.0947266,-0.119568,0.219849,-0.963501
14227,0.0787354,-0.110168,0.181885,-0.973938
14260,0.0838013,-0.101868,0.179565,-0.974854
14295,0.0926514,-0.0924683,0.194519,-0.972107
14327,0.102173,-0.0886841,0.221069,-0.96582
14360,0.0845337,-0.108154,0.271606,-0.952576
14395,0.107117,-0.097168,0.266846,-0.95282
14428,0.106628,-0.0965576,0.246094,-0.958496
14461,0.0855103,-0.11908,0.260803,-0.954224
14496,0.0640869,-0.134766,0.29425,-0.944031
14528,0.0588989,-0.146729,0.284668,-0.945496
